Decade,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms
1970,0.619,0.22,0,"-13,843",0.0667,0.782,1.19E-05,0.423,75.16,258835
1970,0.645,0.604,5,"-9,904",0.118,0.0713,0,0.545,"156,436",214373
1970,0.678,0.611,6,"-8,306",0.0506,0.777,0,0.821,"98,949",209347
1970,0.804,0.233,2,-14.17,0.0312,0.64,0.106,0.583,"90,639",196800
1970,0.567,0.356,0,"-13,382",0.0256,0.782,0.000333,0.514,"96,183",168800
1970,0.669,0.815,9,"-8,998",0.0838,0.0329,0.00105,0.784,"117,809",628547
1970,0.634,0.892,2,"-5,374",0.0309,0.0134,0.00068,0.23,"114,967",260027
1970,0.545,0.684,3,"-10,036",0.0428,0.637,0.00018,0.576,"123,847",196573
1970,0.538,0.948,5,"-3,478",0.0633,0.428,0.000277,0.897,"148,317",197200
1970,0.691,0.52,7,"-10,189",0.0552,0.482,0,0.82,"116,535",154400
1970,0.579,0.627,5,"-13,383",0.144,0.342,0,0.87,"162,948",235467
1970,0.449,0.532,7,"-12,068",0.0446,0.153,0,0.441,"126,163",258933
1970,0.798,0.622,11,"-11,282",0.0341,0.0429,0.0136,0.97,"114,455",235311
